,inputs,targets,outputs
1046,granthiyon,ग्रंथियों,ग्रांस
1047,greest,ग्रीस्ट,ग्रेन
1048,greist,ग्रीस्ट,ग्रांसिस्ट्री
1049,grist,ग्रीस्ट,ग्रेड
1050,greg,ग्रेग,ग्रेनिंग
1051,granite,ग्रेनाइट,ग्रांसिस
1052,grenite,ग्रेनाइट,ग्रेड
1053,grandson,ग्रैंडसन,ग्राफ्ट
1054,gross,ग्रॉस,ग्रेडिंग
1055,ghataatop,घटाटोप,घटने
1056,ghatatop,घटाटोप,घटना
1057,ghataayaa,घटाया,घटाने
1058,ghataya,घटाया,घटाए
1059,ghanakar,घनाकार,घाज
1060,ghabrahat,घबराहट,घटाने
1061,ghasi,घासी,घुमान
1062,ghisai,घिसाई,घृतिक
1063,ghisi,घिसी,घिला
1064,ghise,घिसे,घिला
1065,ghumakkadi,घुमक्कड़ी,घामियों
1066,ghumakkdi,घुमक्कड़ी,घुंचती
1067,ghumakkadon,घुमक्कड़ों,घुमा
1068,ghumakkaron,घुमक्कड़ों,घाटा
1069,ghumakkdon,घुमक्कड़ों,घटा
1070,ghummakkadon,घुमक्कड़ों,घुमाने
1071,ghumaan,घुमाण,घुमाने
1072,ghuman,घुमाण,घुट्टी
1073,ghoonsa,घूंसा,घोल
1074,ghunsa,घूंसा,घुट्टर
1075,ghongha,घोंघा,घोड़ने
1076,ghontane,घोंटने,घुंग
1077,ghontne,घोंटने,घुमाए
1078,ghot,घोट,घुमाना
1079,ghodi,घोड़ी,घुमाने
1080,ghost,घोस्ट,घुमार
1081,changul,चंगुल,चाहे
1082,chand,चंद,चाहा
1083,chandan,चंदन,चाहा
1084,chandana,चंदन,चांगड़ी
1085,chandu,चंदू,चाहे
1086,chandon,चंदों,चाहे
1087,chandrabali,चंद्रबली,चांचा
1088,chandramaon,चंद्रमाओं,चंद्रा
1089,chakatte,चकत्ते,चांचने
1090,chaktte,चकत्ते,चाहिया
1091,chakkar,चक्कर,चढ़ाते
1092,chkkar,चक्कर,चुनाव
1093,chakshu,चक्षु,चाहे
1094,chatagaon,चटगांव,चाह
1095,chatgaon,चटगांव,चढ़ाया
1096,chadhane,चढ़ने,चमकाते
1097,chadhne,चढ़ने,चांचने
1098,chaturdik,चतुर्दिक,चांचते
1099,chatunshkoniy,चतुष्कोणीय,चांचा
1100,chatushkoniy,चतुष्कोणीय,चमकाने
1101,chatushkoniya,चतुष्कोणीय,चमकाने
1102,channa,चन्ना,चाहिया
1103,chabate,चबाते,चाहे
1104,chabutare,चबूतरे,चाहिक
1105,chabutre,चबूतरे,चाहिया
1106,chamakna,चमकना,चढ़ा
1107,chamkana,चमकना,चमकाने
1108,charas,चरस,चुनाते
1109,charit,चरित,चुनाने
1110,charcha,चर्चा,चुना
1111,churcha,चर्चा,चुनाते
1112,charchaon,चर्चाओं,चुनाते
1113,chalenge,चलेंगे,चुनिया
1114,chlenge,चलेंगे,क्रिया
1115,chahunaur,चहुंओर,चाहिया
1116,chahunor,चहुंओर,चाहिया
1117,chanval,चांवल,चाहे
1118,chanwal,चांवल,चाहे
1119,chachaji,चाचाजी,चाहे
1120,chadar,चादर,चांग
1121,chadaron,चादरों,चमकाने
1122,chadron,चादरों,चाहिया
1123,chan,चान,चौकसी
1124,chanan,चानन,चांचते
1125,chaplusi,चापलूसी,चाहिया
1126,chayal,चायल,चौकड़ा
1127,char,चार,चुनाने
1128,charon,चारों,चुनाते
1129,charge,चार्ज,चेला
1130,chart,चार्ट,चोल्ड
1131,charton,चार्टों,चुना
1132,charts,चार्ट्स,चुनाने
1133,chaalit,चालित,चुनाते
1134,chalit,चालित,चित्ति
1135,chikitsak,चिकित्सक,छिला
1136,chikitsakon,चिकित्सकों,चित्रावाद
1137,chikhali,चिखली,चित्रा
1138,chiththi,चिट्ठी,चित्रावरण
1139,chitthi,चिट्ठी,चिकना
1140,chithhi,चिठ्ठी,चिंदु
1141,chiththi,चिठ्ठी,चित्रावती
1142,chitthi,चिठ्ठी,चिंदा
1143,chidchidapan,चिडचिडापन,चिंता
1144,chidchidapan,चिड़चिड़ापन,चिकाने
1145,chidhate,चिढ़ते,चित्राविधा
1146,chidhte,चिढ़ते,चिक्तिक
1147,chithrkar,चित्रकार,चित्रा
1148,chitrkar,चित्रकार,चिंत
1149,chipakane,चिपकने,चिंता
1150,chipakne,चिपकने,चित्रा
1151,chipkane,चिपकने,चित्र
1152,chimati,चिमटी,चिकनी
1153,chimti,चिमटी,चिंता
1154,chillane,चिल्लाने,चित्रा
1155,chee,ची,चित्रा
1156,chi,ची,चित्र
1157,chuka,चुका,चुनाई
1158,chune,चुने,छुआ
1159,chunar,चूनर,चांचना
1160,changed,चेंज्ड,चाहिया
1161,chetti,चेट्टी,चिकना
1162,chennai,चेन्नई,चिंत
1163,chero,चेरो,चिकने
1164,chest,चेस्ट,चिंता
1165,championship,चैंपियनशिप,चाहे
1166,chor,चोर,चुनावा
1167,choro,चोरों,चुनाते
1168,choron,चोरों,चुनाते
1169,chauk,चौक,चौदा
1170,chowk,चौक,चाला
1171,chauka,चौका,चांडाने
1172,chuka,चौका,चालकी
1173,chaukiyan,चौकियां,चाहिया
1174,chauki,चौकी,चाहियों
1175,chaukhate,चौखटे,चांचा
1176,chauguni,चौगुनी,चाहते
1177,chauda,चौड़ा,चांस
1178,chaudah,चौड़ा,चाहे
1179,chaudahavan,चौदहवां,चाला
1180,chaudhavan,चौदहवां,चौकर
1181,chaudhawan,चौदहवां,चाहिया
1182,chaupati,चौपाटी,चुनाते
1183,chupaty,चौपाटी,चुनाई
1184,chaupal,चौपाल,चंद्रावरण
1185,chaurai,चौरई,चुनाव
1186,chausinga,चौसिंगा,चाहा
1187,chausingha,चौसिंगा,चांचते
1188,chhagan,छगन,छात्रावाद
1189,chhabi,छबि,छात्रा
1190,chhalla,छल्ला,छापा
1191,chhallaa,छल्ला,छापा
1192,chhaviyaan,छवियाँ,छात्रा
1193,chhaviyan,छवियाँ,छात्रा
1194,chhavi,छवी,छात्रावर्ती
1195,cheh,छह,छेला
1196,chhah,छह,छात्र
1197,chehon,छहों,चिंत
1198,chhahon,छहों,छात्रा
1199,chhai,छाई,छुट्टे
1200,chhagla,छागला,छावन
1201,chhajan,छाजन,छात्य
1202,chhaati,छाती,छात्रावादी
1203,chhati,छाती,छात्रावती
1204,chhaapemaar,छापेमार,छापा
1205,chhapemar,छापेमार,छात्र
1206,chheenk,छींक,छिपने
1207,chhink,छींक,छिड़काने
1208,chink,छींक,चित्र
1209,chenkein,छींके,चिकनी
1210,chhekein,छींके,छिला
1211,chhinke,छींके,छिलाए
1212,chhinky,छींके,छिपका
1213,chinke,छींके,चिंता
1214,chhudaane,छुडाने,छुटाने
1215,chhudane,छुडाने,छुट्टिया
1216,chhupakar,छुपकर,छुआ
1217,chhupkar,छुपकर,छुड़ा
1218,chhupkr,छुपकर,छुपान
1219,chhupata,छुपता,छुट्टिया
1220,chhupta,छुपता,छुड़कने
1221,chhuptaa,छुपता,छुड़का
1222,chhura,छुरा,छुट्टी
1223,chhuraa,छुरा,छुट्टा
1224,chhuree,छुरी,छुड़काने
1225,chhuri,छुरी,छुट्टे
1226,chhure,छुरे,छुना
1227,chhootane,छूटने,छुटाने
1228,chhutane,छूटने,छुड़का
1229,chhutne,छूटने,छोड़ा
1230,chheter,छेत्र,छित्रावाद
1231,chhetr,छेत्र,छुड़का
1232,chhetter,छेत्र,छिपकने
1233,chhetri,छेत्री,छिड़का
1234,chhetthari,छेत्री,छेद
1235,chhetthri,छेत्री,छेड़ता
1236,chai,छै,चंद्र
1237,chhai,छै,छुट्टी
1238,chhe,छै,छिपका
1239,jagaega,जगाएगा,जगाने
1240,jagayega,जगाएगा,जामा
1241,jaghaega,जगाएगा,जगजात
1242,jgaayega,जगाएगा,जगाता
1243,jgayegaa,जगाएगा,जागवान
1244,jajaon,जजों,जगाने
1245,jajon,जजों,जातिया
1246,jad,जड़,जागी
1247,jadd,जड़,जात्र
1248,jaddit,जड़ित,जागर
1249,jadeite,जड़ित,जागर
1250,jadet,जड़ित,जात्रा
1251,jadit,जड़ित,जातियां
1252,jadein,जड़ें,जागी
1253,jaden,जड़ें,जगने
1254,jatara,जतरा,जातियां
1255,jatra,जतरा,जागरा
1256,jataati,जताती,जागराज
1257,jatatee,जताती,जहाने
1258,jatati,जताती,जागर
1259,janagananaa,जनगणना,जनसंख्या
1260,janaganna,जनगणना,जनसंबंधी
1261,jangadnaa,जनगणना,जनसामान्य
1262,janganana,जनगणना,जनसांख
1263,janganna,जनगणना,जनस्था
1264,janajagran,जनजागरण,जन्मा
1265,janjaagran,जनजागरण,जन्मा
1266,janjagran,जनजागरण,जनसंप्रतिभाव
1267,january,जनवरी,जन्मावती
1268,janahaani,जनहानि,जन्मानु
1269,janahani,जनहानि,जन्मान
1270,janhaani,जनहानि,जन्मार्थ
1271,janhani,जनहानि,जनसमान
1272,jnhaani,जनहानि,जागर
1273,jamaate,जमाती,जमावट
1274,jamaati,जमाती,जमाने
1275,jamati,जमाती,जमाने
1276,jamaaya,जमाया,जमाने
1277,jamaeya,जमाया,जमाने
1278,jamaya,जमाया,जमाने
1279,jamayaa,जमाया,जमाने
1280,jamuai,जमुई,जमाने
1281,jamuei,जमुई,जमाने
1282,jamui,जमुई,जमाने
1283,jai,जय,जलाते
1284,jay,जय,जाली
1285,jaidayal,जयदयाल,जानेवाले
1286,jayadayal,जयदयाल,जाने
1287,jaydayal,जयदयाल,जानवीय
1288,jaibaan,जयबाण,जाने
1289,jaiban,जयबाण,जाने
1290,jaybaan,जयबाण,जाया
1291,jayalalita,जयललिता,जाने
1292,jayalalitaa,जयललिता,जानेवाल
1293,jayalalithaa,जयललिता,जाये
1294,jaylalita,जयललिता,जाने
1295,jarakh,जरख,जलाते
1296,zarakh,जरख,जलाश
1297,jarda,जर्दा,जलाकर
1298,jardaa,जर्दा,जलार्थ
1299,zarda,जर्दा,जलाल
1300,jalagati,जलगति,जलाकर
1301,jalgati,जलगति,जलाते
1302,jalgti,जलगति,जलाकार
1303,jalte,जलते,जलाने
1304,jalbharav,जलभराव,जलावट
1305,jalbhraav,जलभराव,जलाएं
1306,jalbhrav,जलभराव,जलाल
1307,jalvaayu,जलवायु,जलारा
1308,jalvayu,जलवायु,जलाया
1309,jalesar,जलेसर,जलाकर
1310,jasmeet,जसमीत,जाने
1311,jasmit,जसमीत,जाये
1312,jassee,जस्सी,जनसामान्य
1313,jassi,जस्सी,जाना
1314,jamaanaa,ज़माना,जमाने
1315,jamana,ज़माना,जमाने
1316,zamaanaa,ज़माना,जमीन
1317,zamana,ज़माना,जमाने
1318,jaljale,ज़लज़ले,जलाल
1319,zalzale,ज़लज़ले,जलार
1320,zee,ज़ी,जीते
1321,jubaan,ज़ुबान,जुड़का
1322,juban,ज़ुबान,जुझा
1323,zuban,ज़ुबान,जुटाने
1324,jaanch,जाँच,जानेवाले
1325,jaaunch,जाँच,जानेवाला
1326,janch,जाँच,जनस्थापन
1327,jaunch,जाँच,जाया
1328,jaagriti,जागृति,जामा
1329,jagriti,जागृति,जागी
1330,jagruti,जागृति,जातिया
1331,jajamau,जाजमऊ,जगरी
1332,jajmau,जाजमऊ,जागर
1333,jajmauu,जाजमऊ,जागर
1334,jaat,जात,जागी
1335,jat,जात,जागी
1336,jaatak,जातक,जगाने
1337,jatak,जातक,जातियों
1338,jaatakon,जातकों,जागवास
1339,jaatkon,जातकों,जागर
1340,jatakon,जातकों,जगाने
1341,jaatiyon,जातियों,जाते
1342,jatiyon,जातियों,जातिया
1343,jaankaaron,जानकारों,जानेवाला
1344,jaankaron,जानकारों,जायदार
1345,jankaron,जानकारों,जनसमान
1346,jaanam,जानम,जाने
1347,janam,जानम,जनसामान
1348,jaayke,जायके,जाने
1349,jayke,जायके,जाएं
1350,jaawar,जावर,जात्रा
1351,zawar,जावर,जात्रावत
1352,jing,जिंग,जीवन
1353,gin,जिन,ज्लोनिया
1354,jeen,जिन,जीवान
1355,jin,जिन,जित्रा
1356,ginee,जिनी,गिरा
1357,jinee,जिनी,ज्यायपूर्वक
1358,jini,जिनी,जिनात
1359,geneva,जिनीवा,जिम्ने
1360,jeneva,जिनीवा,जिनवान
1361,jiniva,जिनीवा,जीवन
1362,gypsy,जिप्सी,जीर्ड
1363,jimme,जिम्मे,जिन्हा
1364,jiya,जिया,जीवन
1365,gic,जीआईसी,गिरा
1366,gr,जीआर,ग्रेड
1367,gm,जीएम,गिराएं
1368,gsm,जीएसएम,गिराया
1369,gtod,जीतोड़,गोला
1370,gtor,जीतोड़,गोल्ड
1371,jeetod,जीतोड़,जीवा
1372,jitod,जीतोड़,जिल्ड
1373,jean,जीन,जीवा
1374,jeen,जीन,जीवा
1375,jin,जीन,जिन्हा
1376,jeenon,जीनों,जीवा
1377,jinon,जीनों,जिन्हा
1378,jeepney,जीपनी,जीवा
1379,jipani,जीपनी,जिता
1380,jeeyo,जीयो,जिन्हा
1381,jio,जीयो,जीवन
1382,jiyo,जीयो,जीवा
1383,jeera,जीरा,जेल
1384,jira,जीरा,जिन्हा
1385,jeevant,जीवंत,जिंद्रीय
1386,jivant,जीवंत,जीवा
1387,jeevan,जीवन,जिताता
1388,jeewan,जीवन,जीवा
1389,jivan,जीवन,जीवा
1390,jiwan,जीवन,जिन्हा
1391,jeevanshaili,जीवनशैली,जीवा
1392,jivanshaili,जीवनशैली,जीवा
1393,jeevniyaan,जीवनियां,जीवा
1394,jivaniya,जीवनियां,जीवनी
1395,jivaniyaan,जीवनियां,जिन्नत
1396,jivaniyan,जीवनियां,जिनक
1397,jeevraaj,जीवराज,जीवा
1398,jivraj,जीवराज,जिताते
1399,jua,जुए,जोध
1400,jue,जुए,जोरा
1401,juye,जुए,जुलाते
1402,jutee,जुटी,जुड़के
1403,juti,जुटी,जुटना
1404,judaai,जुड़ाई,जुड़ने
1405,judae,जुड़ाई,जुटा
1406,judai,जुड़ाई,जुटा
1407,judaai,जुदाई,जुटा
1408,judai,जुदाई,जुटा
1409,junoon,जुनून,जुड़ा
1410,junun,जुनून,जुटा
1411,junooni,जुनूनी,जुबर्ग
1412,jununi,जुनूनी,जुट्टा
1413,jubair,जुबेर,जुड़ा
1414,juber,जुबेर,जुड़का
1415,zubair,जुबेर,जुटने
1416,juraab,जुराब,जोड़ते
1417,jurab,जुराब,जोड़ने
1418,julaahon,जुलाहों,जोगे
1419,julahon,जुलाहों,जोड़
1420,julmon,जुल्मों,जोड़ा
1421,zulmon,जुल्मों,जोड़ी
1422,jood,जूड,जुड़ने
1423,jud,जूड,जुड़का
1424,junagadh,जूनागढ,जुड़ते
1425,junagarh,जूनागढ,जोड़ने
1426,junior,जूनियर,जुड़ता
1427,jealous,जूलूस,जिस्ट्रिया
1428,juloos,जूलूस,जोड़ा
1429,julus,जूलूस,जुलवान
1430,jetha,जेठा,ज्वार्ड
1431,jenner,जेनर,जीवन
1432,generic,जेनरिक,गिरा
1433,jenrick,जेनरिक,जीवन
1434,generat,जेनरेट,गिराने
1435,generate,जेनरेट,गिराते
1436,jenee,जेनी,जीवा
1437,jenni,जेनी,जिनके
1438,jenny,जेनी,जिन्हा
1439,james,जेम्स,जमाने
1440,jeremy,जेरेमी,जीवना
1441,gerome,जेरोम,ज्ञान
1442,jerome,जेरोम,जिन्य
1443,jacks,जैक्स,जानता
1444,jain,जैन,जानवर
1445,gene,जैने,गिराए
1446,jaine,जैने,जाया
1447,jaino,जैनों,जलाकर
1448,jainon,जैनों,जाने
1449,jerry,जैरी,जीवान
1450,jasper,जैस्पर,जलावती
1451,jogging,जॉगिंग,जुड़के
1452,johnson,जॉनसन,जुड़ा
1453,jobs,जॉब्स,जुल्ले
1454,jockey,जोकि,जुड़कते
1455,joki,जोकि,जोड़ते
1456,jokhim,जोखिम,जुड़ी
1457,joddta,जोड़ता,जुड़ा
1458,jodta,जोड़ता,जुला
1459,jorhta,जोड़ता,जोरी
1460,jodiyon,जोड़ियों,जोड़ते
1461,jodo,जोड़ो,जुड़ने
1462,jaun,जौं,जानेवाला
1463,gyatavya,ज्ञातव्य,ज्ञापन
1464,gyatvy,ज्ञातव्य,ज्ञायिक
1465,gyapit,ज्ञापित,गिरा
1466,jyotiba,ज्योतिबा,ज्वामी
1467,joint,ज्वाइंट,जोरा
1468,jvar,ज्वार,ज्वास्त्रीय
1469,jwar,ज्वार,ज्वाद
1470,jvaaron,ज्वारों,ज्वाइन
1471,jvaron,ज्वारों,ज्वाला
1472,jwaron,ज्वारों,ज्वालिया
1473,jewellers,ज्वेलर्स,ज्वार्ट
1474,jh,झ,झर्टे
1475,jha,झ,झोपड़ा
1476,jhalakti,झलकती,झार्ट
1477,jhalkati,झलकती,झला
1478,jhalla,झल्ला,झलाए
1479,jhankana,झांकना,झाला
1480,jhankna,झांकना,झांचते
1481,jheel,झील,झालते
1482,jhil,झील,झिला
1483,jheelon,झीलों,झेरा
1484,jhilon,झीलों,झेलना
1485,jhuthala,झुठला,झोपड़ी
1486,jhuthla,झुठला,झोपड़ा
1487,jhuthalane,झुठलाने,झांचा
1488,jhuthlane,झुठलाने,झोपड़ी
1489,tankaar,टंकार,तालियों
1490,tankar,टंकार,ताने
1491,takara,टकरा,तानेवाले
1492,takra,टकरा,तार्किक
1493,takaraon,टकरावों,ताला
1494,takravon,टकरावों,तालिया
1495,tapakti,टपकती,ताने
1496,tapkati,टपकती,ताने
1497,time,टाइम,तिर्वासन
1498,timer,टाइमर,टीका
1499,taoo,टाऊ,तुर्जाइन
1500,tau,टाऊ,तुल्ला
1501,tapoowo,टापुओं,ताका
1502,tapuon,टापुओं,ताज़ा
1503,tapuwo,टापुओं,ताज़ा
1504,tied,टायर्ड,त्रिवेश
1505,tired,टायर्ड,टीके
1506,tyred,टायर्ड,तिर्दा
1507,tarch,टार्च,तुंधा
1508,torch,टार्च,टोर्ड
1509,tik,टिक,तिरुविष्ठा
1510,teap,टिप,तीर्थविज्ञापन
1511,tip,टिप,तीर्थय
1512,tippanikar,टिप्पणीकार,तिर्दान
1513,tippnikar,टिप्पणीकार,टेरा
1514,tivolee,टिवोली,तिलका
1515,tivoli,टिवोली,तिराती
1516,teekamgarh,टीकमगढ़,तिराने
1517,tikamgarh,टीकमगढ़,तिरंग
1518,teekon,टीकों,तीर्थविधान
1519,tikon,टीकों,टीका
1520,two,टु,तीर्वास्थित
1521,tension,टेंशन,टेरी
1522,tenis,टेनिस,तिलवाने
1523,tennis,टेनिस,टाइल
1524,taste,टेस्ट,तार्क
1525,test,टेस्ट,टीका
1526,tasting,टेस्टिंग,ताना
1527,testing,टेस्टिंग,तिलाने
1528,tainin,टैनिन,तैर्लिया
1529,tenin,टैनिन,टेरिया
1530,tanish,टैनिस,तानेवाला
1531,tennis,टैनिस,तिरावार
1532,taboo,टैबू,ताने
1533,taiboo,टैबू,ताला
1534,taobao,टैबू,तर्मावति
1535,tonic,टॉनिक,तोड़ते
1536,tonga,टोंगा,टोमिन
1537,toka,टोका,तोड़ते
1538,tuesday,ट्यूजडे,टाइल
1539,tuning,ट्यूनिंग,तुल्ला
1540,tuberculosis,ट्यूबरक्यूलोसिस,टोरिया
1541,tuberkyulosis,ट्यूबरक्यूलोसिस,तुर्तिया
1542,truck,ट्रक,ट्रेन
1543,trangistor,ट्रांजिस्टर,ट्रेंट
1544,tranjister,ट्रांजिस्टर,ट्रेड
1545,transistor,ट्रांजिस्टर,ट्रेंस
1546,transfer,ट्रान्सफर,ट्रेस
1547,tribunal,ट्रिब्युनल,ट्रांसिस
1548,tribunal,ट्रिब्यूनल,ट्रेंड
1549,trubyunal,ट्रिब्यूनल,ट्रांड
1550,truth,ट्रुथ,ट्रेन
1551,tuth,ट्रुथ,टाइल
1552,traded,ट्रेडेड,ट्रांसिसिंग
1553,trabal,ट्रेबल,ट्रेड
1554,trebal,ट्रेबल,ट्रेंड
1555,trouble,ट्रेबल,ट्रेंट
1556,traip,ट्रैप,ट्रेड
1557,trap,ट्रैप,ट्रेट
1558,trot,ट्रॉट,त्रिक्रम
1559,trott,ट्रॉट,त्रियान
1560,thakkar,ठक्कर,ठहरा
1561,thakkr,ठक्कर,ठहरा
1562,thaharne,ठहरने,ठहराते
1563,thahrane,ठहरने,ठहरा
1564,theharne,ठहरने,ठहराते
1565,thikane,ठिकाने,थेल
1566,thumari,ठुमरी,थाने
1567,thumri,ठुमरी,थारा
1568,theinga,ठेंगा,थेरा
1569,thenga,ठेंगा,थानेवाली
1570,thengaa,ठेंगा,ठेके
1571,daglas,डगलस,दावा
1572,douglas,डगलस,दुर्वांग
1573,dabhara,डभरा,दाग
1574,dabhra,डभरा,दावार
1575,dabhoi,डभोई,दावा
1576,dam,डम,दावा
1577,dum,डम,दुर्दा
1578,darate,डराते,दर्शन
1579,daratey,डराते,दुर्गांत
1580,daravani,डरावनी,दारा
1581,darawani,डरावनी,दुर्वांतर
1582,dravani,डरावनी,ड्रेड
1583,down,डाउन,दुर्वास्था
1584,daak,डाक,दानवान
1585,dak,डाक,दावा
1586,daka,डाका,दार्यकालिक
1587,dabi,डाबी,दाहिया
1588,dabolim,डाबोलिम,दावार्थ
1589,dinosaur,डायनासोर,दिखाने
1590,diaries,डायरीज,देवानंद
1591,dit,डिट,दिखाते
1592,depthiriya,डिप्थीरिया,देवार्थ
1593,diphtheria,डिप्थीरिया,देवाधिकार
1594,de,डीई,दिखाने
1595,dealership,डीलरशिप,देवा
1596,dvc,डीवीसी,द्वार्य
1597,dubaana,डुबाना,दुर्वास्त्र
1598,dubana,डुबाना,दुर्वासन
1599,dubona,डुबोना,दुर्दान
1600,dulne,डुलने,दुर्वास
1601,doonarpur,डूंगरपुर,दुर्वास्तुति
1602,doongarpur,डूंगरपुर,दुर्माणपूर्ण
1603,dungarpur,डूंगरपुर,दुर्गी
1604,dungerpur,डूंगरपुर,दुर्गार्थ
1605,dubana,डूबना,दुर्गांतरण
1606,dubna,डूबना,दुर्विक
1607,dangerous,डेंजरस,दावित
1608,daisy,डेजी,दुर्गार
1609,dazy,डेजी,दाहिरा
1610,deji,डेजी,देवा
1611,deputy,डेप्युटी,देवा
1612,davidson,डेविडसन,दावे
1613,devidson,डेविडसन,देविका
1614,davey,डेवी,दानवीर
1615,devi,डेवी,दिखाने
1616,dewey,डेवी,देवाल
1617,destination,डेस्टिनेशन,दिखाने
1618,datson,डैटसन,दावा
1619,datsun,डैटसन,दावा
1620,daddy,डैडी,दावे
1621,dark,डॉर्क,दुर्द्रा
1622,dork,डॉर्क,दिखाने
1623,dose,डोज,दुर्देश
1624,domenic,डोमेनिक,दुर्जा
1625,doranda,डोरंडा,दुर्वासन
1626,dolane,डोलने,दुर्दा
1627,dolne,डोलने,दुर्वासन
1628,dual,ड्युअल,दुर्वासन
1629,duak,ड्यूक,दुर्दान
1630,duke,ड्यूक,दुर्दा
1631,drame,ड्रामे,द्विमान
1632,dramen,ड्रामे,दृष्ट
1633,drager,ड्रेजर,दृष्ट
1634,dredger,ड्रेजर,दृश्य
1635,dreijer,ड्रेजर,दृष्टि
1636,dhakaal,ढकाल,धाते
1637,dhakal,ढकाल,ढके
1638,dhakkal,ढकाल,ढके
1639,dhkal,ढकाल,धुर्यकाल
1640,dhale,ढले,धर्मावत
1641,dhoondh,ढूंढ,धुर्क
1642,dhundh,ढूंढ,ढालने
1643,dhoondhata,ढूंढता,धुना
1644,dhundhata,ढूंढता,धुंचने
1645,dhundhta,ढूंढता,धुमान
1646,dhoondhi,ढूंढी,ढांचते
1647,dhundhi,ढूंढी,धार्य
1648,tanjavur,तंजावुर,ताला
1649,thanjavur,तंजावुर,ठांचा
1650,tantr,तंत्र,तार्क
1651,tantra,तंत्र,तालिया
1652,tantrikao,तंत्रिकाओं,तानवी
1653,tantrikaon,तंत्रिकाओं,तारा
1654,tantro,तंत्रों,तानवी
1655,tantron,तंत्रों,ताला
1656,tagade,तगड़े,तार्वाधिकार
1657,tagde,तगड़े,ताप
1658,tadipaar,तड़ीपार,तावित
1659,tadipar,तड़ीपार,ताकिया
1660,tani,तनी,तार्वतान
1661,tapan,तपन,ताकते
1662,tarafa,तरफा,तारण
1663,tarfa,तरफा,ताली
1664,tarabganj,तरबगंज,तारा
1665,taras,तरस,तर्दा
1666,taraash,तराश,तार्याय
1667,tarash,तराश,तार्कियों
1668,tarashay,तराशे,ताला
1669,tarashe,तराशे,तालिया
1670,tareeko,तरीको,तुर्ता
1671,tariko,तरीको,ताला
1672,tark,तर्क,तुंचते
1673,tarkvaad,तर्कवाद,तालिया
1674,tarkvad,तर्कवाद,तारा
1675,tarkwaad,तर्कवाद,ताला
1676,tarko,तर्कों,तारा
1677,tarkon,तर्कों,तुल्ला
1678,talabgaar,तलबगार,तार्क
1679,talabgar,तलबगार,तर्मावृति
1680,talbagaar,तलबगार,तुल्ला
1681,talbagar,तलबगार,ताला
1682,talawe,तलवे,तर्ज़
1683,talve,तलवे,तार्क
1684,talawon,तलवों,तार्किंग
1685,talvon,तलवों,तारी
1686,tahakhana,तहखाना,ताजिया
1687,tahkhaana,तहखाना,ताम्या
1688,tahkhana,तहखाना,ताम्य
1689,taantaa,तांता,तारा
1690,tanta,तांता,तालिया
1691,tambe,तांबे,ताकता
1692,tanbe,तांबे,ताला
1693,taaja,ताजा,तापानी
1694,taajaa,ताजा,ताला
1695,taaza,ताजा,ताकता
1696,taja,ताजा,ताकते
1697,taza,ताजा,ताने
1698,tansen,तानसेन,तार्क
1699,taapmaanon,तापमानों,ताका
1700,tapmano,तापमानों,तात्तियों
1701,tapmanon,तापमानों,ताके
1702,taapti,ताप्ती,ताला
1703,tapti,ताप्ती,ताला
1704,tarabai,ताराबाई,ताला
1705,taseer,तासीर,तारा
1706,tasir,तासीर,तानों
1707,taahi,ताहि,तावा
1708,tahi,ताहि,ताजू
1709,tikone,तिकोने,टीके
1710,tirupati,तिरूपति,तिर्माधिकार
1711,tiwari,तिवारी,तिला
1712,ti,ती,तिराते
1713,teer,तीर,तिहाड़ी
1714,tir,तीर,टेरिया
1715,teeron,तीरों,टीक
1716,tiron,तीरों,तेंदा
1717,tirthatan,तीर्थाटन,तीर्थनाथ
1718,tungnath,तुंगनाथ,तोड़
1719,tughlaq,तुगलक,तुर्क
1720,tuglak,तुगलक,टोर्स
1721,tughlakabad,तुगलकाबाद,टोनिया
1722,tughlaqabad,तुगलकाबाद,तुर्ली
1723,tuglakabad,तुगलकाबाद,टोली
1724,tugalaki,तुगलकी,तुल्ला
1725,tugalki,तुगलकी,तुल्ट
1726,tuglaki,तुगलकी,तुल्ला
1727,tufail,तुफैल,तोड़ते
1728,tejaji,तेजाजी,टेलेक्ट
1729,teji,तेजी,तिर्वाधिकार
1730,tel,तेल,तिर्गा
1731,telon,तेलों,तिरंगी
1732,to,तो,तुर्ग
1733,toh,तो,तोड़ा
1734,taul,तौल,तर्मा
1735,tyohaar,त्यौहार,तिर्द्ध
1736,tyohar,त्यौहार,टीका
1737,tyoihar,त्यौहार,तिरंग
1738,tyauharon,त्यौहारों,टेक्स
1739,tyoharon,त्यौहारों,तीर्थयात्र
1740,tyoiharon,त्यौहारों,तिला
1741,trijata,त्रिजटा,ट्रेंट
1742,trijta,त्रिजटा,ट्रांसिया
1743,triya,त्रिया,ट्रांसिस
1744,tremasik,त्रैमासिक,ट्रांसिस
1745,trimasik,त्रैमासिक,ट्रेंस
1746,tse,त्से,ट्रेडर
1747,thaki,थकी,ठहराते
1748,thki,थकी,थिलाने
1749,tharti,थर्टी,थराने
1750,thirty,थर्टी,थ्राफी
1751,thane,थाणे,ठहरा
1752,thaanvi,थानवी,ठहराने
1753,thanvi,थानवी,ठाने
1754,theateron,थिएटरों,ठार्टिया
1755,theatron,थिएटरों,थके
1756,theaters,थिएटर्स,थोके
